"","Feature","MET_1","MET_2","MET_3","CTL_1","CTL_2","CTL_3"
"16499","ERCC-00002",16629,18798,26568,36600,45436,25163
"16500","ERCC-00003",1347,1565,1983,3048,3447,2195
"16501","ERCC-00004",4569,5570,6755,1240,1484,902
"16502","ERCC-00009",811,869,1123,909,1073,537
"16503","ERCC-00012",0,0,0,0,0,0
"16504","ERCC-00013",3,1,2,1,5,1
"16505","ERCC-00014",1,0,0,1,1,1
"16506","ERCC-00016",0,0,0,0,0,0
"16507","ERCC-00017",0,0,0,1,0,0
"16508","ERCC-00019",24,32,43,5,13,4
"16509","ERCC-00022",162,184,227,323,446,218
"16510","ERCC-00024",0,0,0,1,1,0
"16511","ERCC-00025",42,54,74,50,62,29
"16512","ERCC-00028",3,7,6,1,0,0
"16513","ERCC-00031",1,1,8,4,4,3
"16514","ERCC-00033",2,3,1,1,0,0
"16515","ERCC-00034",12,22,24,28,27,12
"16516","ERCC-00035",73,82,120,90,109,60
"16517","ERCC-00039",2,4,3,7,4,2
"16518","ERCC-00040",3,2,2,1,1,0
"16519","ERCC-00041",0,0,0,1,2,0
"16520","ERCC-00042",603,665,908,678,724,450
"16521","ERCC-00043",677,832,1094,1577,1881,1201
"16522","ERCC-00044",17,15,31,31,70,34
"16523","ERCC-00046",3575,4118,4968,8083,9024,5802
"16524","ERCC-00048",0,0,0,0,0,0
"16525","ERCC-00051",13,8,20,17,15,8
"16526","ERCC-00053",36,41,54,40,33,19
"16527","ERCC-00054",9,6,11,7,15,10
"16528","ERCC-00057",0,0,0,0,0,0
"16529","ERCC-00058",0,0,1,3,4,3
"16530","ERCC-00059",2,9,22,18,30,16
"16531","ERCC-00060",331,368,468,322,389,293
"16532","ERCC-00061",0,0,0,0,0,0
"16533","ERCC-00062",86,95,119,13,26,14
"16534","ERCC-00067",3,1,0,4,3,0
"16535","ERCC-00069",3,1,8,4,1,2
"16536","ERCC-00071",43,42,60,70,77,38
"16537","ERCC-00073",2,2,0,0,0,0
"16538","ERCC-00074",11483,14204,18138,19750,23157,13737
"16539","ERCC-00075",0,0,0,0,0,0
"16540","ERCC-00076",175,162,238,287,320,210
"16541","ERCC-00077",0,0,3,3,3,3
"16542","ERCC-00078",44,41,52,84,106,49
"16543","ERCC-00079",59,57,117,142,188,114
"16544","ERCC-00081",0,0,0,0,0,0
"16545","ERCC-00083",1,0,0,0,0,0
"16546","ERCC-00084",33,31,55,39,48,23
"16547","ERCC-00085",6,6,5,1,6,1
"16548","ERCC-00086",0,1,0,1,0,0
"16549","ERCC-00092",273,297,417,84,97,36
"16550","ERCC-00095",29,27,59,11,12,6
"16551","ERCC-00096",8673,10106,14382,9386,12148,6436
"16552","ERCC-00097",0,1,2,0,0,0
"16553","ERCC-00098",0,0,0,0,0,0
"16554","ERCC-00099",26,32,28,36,35,32
"16555","ERCC-00104",0,0,0,0,0,0
"16556","ERCC-00108",1110,1269,1688,357,382,182
"16557","ERCC-00109",1,2,1,4,0,0
"16558","ERCC-00111",417,570,715,724,930,456
"16559","ERCC-00112",36,70,84,109,126,69
"16560","ERCC-00113",3287,3737,5182,5288,6761,3573
"16561","ERCC-00116",96,134,217,35,36,20
"16562","ERCC-00117",0,0,0,0,1,0
"16563","ERCC-00120",1,0,0,0,0,1
"16564","ERCC-00123",0,0,0,0,0,1
"16565","ERCC-00126",1,1,2,1,1,0
"16566","ERCC-00130",17610,20341,30600,4625,6026,3158
"16567","ERCC-00131",120,99,167,26,27,17
"16568","ERCC-00134",1,0,1,0,0,0
"16569","ERCC-00136",544,695,1185,145,198,92
"16570","ERCC-00137",0,0,2,0,2,0
"16571","ERCC-00138",0,0,1,0,1,0
"16572","ERCC-00142",0,0,0,0,0,0
"16573","ERCC-00143",3,5,7,10,3,3
"16574","ERCC-00144",12,14,27,5,3,7
"16575","ERCC-00145",674,786,1007,1230,1354,872
"16576","ERCC-00147",1,1,0,1,0,0
"16577","ERCC-00148",11,7,12,10,20,3
"16578","ERCC-00150",0,1,2,0,0,0
"16579","ERCC-00154",2,5,8,0,2,3
"16580","ERCC-00156",1,0,0,0,0,0
"16581","ERCC-00157",9,15,12,19,24,11
"16582","ERCC-00158",1,2,1,0,1,2
"16583","ERCC-00160",16,15,27,34,28,14
"16584","ERCC-00162",61,68,62,97,93,54
"16585","ERCC-00163",14,13,20,42,38,18
"16586","ERCC-00164",0,0,0,0,2,0
"16587","ERCC-00165",39,45,77,102,106,66
"16588","ERCC-00168",2,1,0,2,2,2
"16589","ERCC-00170",15,13,20,3,7,6
"16590","ERCC-00171",3593,3925,4906,3827,4455,2622
"93","A1BG",12,4,144,39,5,2
"94","A1CF",630,527,484,575,1408,949
"95","A1I3",190699,171621,208403,192092,195568,126854
"96","A2LD1",213,235,217,296,362,342
"97","A2M",1927,8101,1016,241,244,88
"98","A3GALT2",3,4,6,10,11,2
"99","A4GALT",0,0,0,0,0,0
"100","AA926063",0,1,0,1,0,1
"101","AAAS",79,63,73,76,77,67
"102","AACS",22,19,70,53,40,18
"103","AADAC",1176,875,1239,974,622,433
"104","AADACL1",165,216,115,85,589,471
"105","AADACL2",0,0,0,0,0,0
"106","AADACL3",0,0,0,0,0,0
"107","AADAT",2752,2428,3183,2233,2478,1728
"108","AAGAB",92,98,125,69,112,78
"109","AAK1",68,84,53,78,106,60
"110","AAMP",1377,1755,1616,1212,1816,1248
"111","AANAT",0,0,0,0,0,0
"112","AARD",1,1,0,2,2,1
"113","AARS",3186,3539,3108,2967,4170,2673
"114","AARS2",144,171,187,150,197,118
"115","AARSD1",143,140,170,176,198,145
"116","AASDHPPT",398,414,474,325,485,345
"117","AASS",3221,4180,3900,2952,2421,2205
"118","AATF",125,175,152,91,216,137
"119","AATK",25,27,24,17,29,23
"120","ABAT",1784,1729,2592,1875,886,663
"121","ABCA1",1119,1135,1109,1164,1356,717
"122","ABCA13",1,1,1,0,1,1
"123","ABCA15",0,0,0,0,0,0
"124","ABCA17",3,8,2,4,4,4
"125","ABCA2",748,630,835,734,689,540
"126","ABCA4",14,7,21,7,48,51
"127","ABCA5",31,56,24,27,105,58
"128","ABCA7",36,48,46,50,60,38
"129","ABCB10",265,246,309,384,338,274
"130","ABCB11",1874,2257,1665,1925,2965,1959
"131","ABCB1A",153,268,176,125,464,237
"132","ABCB1B",44,71,17,22,185,31
"133","ABCB4",1094,1415,717,1230,4046,4072
"134","ABCB6",874,1136,852,606,881,657
"135","ABCB7",226,273,227,289,420,237
"136","ABCB8",223,198,251,212,213,136
"137","ABCB9",7,7,8,34,13,15
"138","ABCC1",43,36,59,24,48,31
"139","ABCC10",150,170,158,136,335,95
"140","ABCC12",0,0,1,0,0,0
"141","ABCC2",3915,3133,3281,4003,4177,2070
"142","ABCC3",681,1401,1033,59,92,74
"143","ABCC4",126,213,206,122,148,73
"144","ABCC5",135,125,143,142,219,151
"145","ABCC6",5354,4212,6355,6731,7499,5509
"146","ABCC8",68,92,88,86,31,4
"147","ABCC9",279,370,219,401,315,179
"148","ABCD1",601,456,879,932,366,274
"149","ABCD2",27,5,12,43,68,45
"150","ABCD3",1912,2207,1939,2383,7082,6335
"151","ABCD4",64,42,62,88,64,43
"152","ABCE1",1010,1657,1187,953,1376,1141
"153","ABCF1",729,953,831,624,975,690
"154","ABCF2",304,488,425,354,475,324
"155","ABCF3",616,704,642,507,721,580
"156","ABCG1",194,176,219,129,261,145
"157","ABCG2",136,199,77,159,100,87
"158","ABCG3",663,585,1192,1245,1422,1028
"159","ABCG3L1",25,26,29,27,31,7
"160","ABCG3L2",1,1,4,0,2,0
"161","ABCG3L3",54,44,92,59,26,35
"162","ABCG3L4",28,33,39,41,42,24
"163","ABCG4",1,3,1,1,1,0
"164","ABCG5",325,871,207,406,791,834
"165","ABCG8",172,332,153,354,301,262
"166","ABHD1",202,188,208,338,1164,891
"167","ABHD10",36,65,32,37,35,24
"168","ABHD12",251,285,306,245,351,229
"169","ABHD12B",0,0,0,0,0,0
"170","ABHD13",445,433,325,255,442,320
"171","ABHD14A",107,112,89,58,108,66
"172","ABHD14B",3782,5305,3982,3392,5376,3019
"173","ABHD15",337,289,307,184,404,305
"174","ABHD16A",324,334,342,250,632,529
"175","ABHD16B",0,0,1,0,2,0
"176","ABHD2",1749,1435,1351,1605,5456,4018
"177","ABHD3",4,3,49,2,11,8
"178","ABHD4",677,668,556,532,955,754
"179","ABHD5",354,188,276,273,406,318
"180","ABHD6",340,435,413,489,980,558
"181","ABHD8",9,16,17,87,30,29
"182","ABI1",132,178,168,119,224,138
"183","ABI2",71,91,61,70,97,60
"184","ABI3",70,84,77,76,119,58
"185","ABL1",653,575,786,419,561,325
"186","ABL2",20,40,28,26,55,37
"187","ABLIM2",16,7,16,6,13,18
"188","ABLIM3",312,375,110,39,634,719
"189","ABO",22,5,11,0,0,0
"190","ABO2",6,4,7,5,6,6
"191","ABP1",6,1,4,10,2,1
"192","ABPA",0,0,0,0,0,0
"193","ABR",85,79,102,68,118,89
"194","ABRA",0,0,0,0,0,0
"195","ABT1",126,140,133,85,146,98
"196","ABTB1",476,322,481,334,380,326
"197","ABTB2",736,369,711,658,1297,669
"198","ACAA1A",1100,952,1280,925,1377,1120
"199","ACAA2",6062,8471,3871,5830,17436,13164
"200","ACACA",1005,971,2141,1640,611,359
"201","ACACB",823,397,1599,990,456,246
"202","ACAD10",293,365,319,162,263,266
"203","ACAD11",3401,3103,2520,3301,8646,7160
"204","ACAD9",951,870,1041,616,493,382
"205","ACADL",4453,5154,6258,3915,8071,6219
"206","ACADM",6496,6784,7643,6552,11596,9766
"207","ACADS",2053,2265,2292,1468,2371,1710
"208","ACADSB",949,1325,990,1189,1177,803
"209","ACADVL",3228,3619,3187,2867,5797,4361
"210","ACAN",0,1,1,0,0,0
"211","ACAP1",29,17,29,28,61,23
"212","ACAP2",233,252,199,229,365,211
"213","ACAP3",196,303,220,195,270,181
"214","ACAT1",3797,3891,3995,2197,4656,3443
"215","ACAT3",437,209,715,499,143,88
"216","ACBD3",457,503,539,447,487,374
"217","ACBD4",231,303,328,293,329,262
"218","ACBD5",622,678,756,493,639,425
"219","ACBD6",154,189,170,109,358,267
"220","ACBD7",0,0,0,0,0,0
"221","ACCN1",9,0,1,10,8,6
"222","ACCN2",0,0,2,4,2,3
"223","ACCN3",0,0,0,0,0,0
"224","ACCN4",0,0,3,1,0,1
"225","ACCN5",5,10,11,8,2,1
"226","ACCSL",0,0,0,0,0,1
"227","ACD",167,157,188,150,230,160
"228","ACE",15,48,17,6,18,14
"229","ACE2",3,4,2,3,6,11
"230","ACER1",1,2,0,0,0,1
"231","ACER2",484,1541,384,204,308,373
"232","ACIN1",983,1141,1018,914,1326,830
"233","ACLY",2348,1287,10282,7542,964,767
"234","ACMSD",64,121,109,204,45,50
"235","ACN9",12,18,8,10,13,6
"236","ACNAT2",901,2572,1037,2203,3643,2794
"237","ACO1",2120,2370,2634,2005,4032,3123
"238","ACO2",1884,2552,1778,1099,2613,2129
"239","ACOT1",1,0,0,0,402,242
"240","ACOT12",1012,1659,789,850,3251,2767
"241","ACOT13",88,95,104,133,75,69
"242","ACOT2",250,323,180,276,4115,2440
"243","ACOT3",144,151,86,115,1736,906
"244","ACOT4",243,399,107,312,2435,1587
"245","ACOT5",20,209,23,291,1098,494
"246","ACOT7",212,320,242,255,670,479
"247","ACOT8",147,146,162,114,149,112
"248","ACOT9",54,66,71,53,74,46
"249","ACOX1",4267,5833,4072,4029,17644,12803
"250","ACOX2",6983,7862,7900,5617,4949,3452
"251","ACOX3",3341,2963,3280,3083,4534,2851
"252","ACOXL",0,1,0,0,1,0
"253","ACP1",73,106,96,109,122,84
"254","ACP2",1027,1100,1071,1274,1489,1036
"255","ACP6",238,291,320,234,300,237
"256","ACPL2",263,169,260,282,345,176
"257","ACPP",87,104,106,146,154,89
"258","ACPT",3,1,1,1,4,2
"259","ACR",3,0,2,0,0,0
"260","ACRBP",14,25,29,17,33,18
"261","ACRV1",0,0,0,0,0,0
"262","ACSBG1",32,42,22,23,46,30
"263","ACSBG2",0,0,0,0,0,0
"264","ACSF2",1086,990,982,1284,1493,794
"265","ACSL1",31916,26379,37627,36356,62545,51703
"266","ACSL3",233,100,339,481,117,107
"267","ACSL4",7648,10223,7142,4314,6730,5248
"268","ACSL5",2281,1637,4506,3525,1962,1169
"269","ACSL6",0,0,0,0,0,0
"270","ACSM2A",630,2929,1133,206,174,241
"271","ACSM3",939,713,397,476,1109,965
"272","ACSM4",0,0,0,0,0,1
"273","ACSM5",470,4926,568,160,675,4052
"274","ACSS1",36,21,26,33,42,32
"275","ACSS2",1182,566,2006,1181,428,327
"276","ACSS3",740,598,690,813,1069,690
"277","ACTA1",0,0,0,1,0,0
"278","ACTB",4119,5281,4460,5706,5830,3266
"279","ACTBL2",0,0,0,0,0,0
"280","ACTC1",0,0,0,0,0,0
"281","ACTG1",0,0,0,0,0,0
"282","ACTG2",13,22,24,21,7,8
"283","ACTL6A",116,172,114,126,153,132
"284","ACTL6B",0,0,0,0,0,0
"285","ACTL7A",3,6,5,7,6,3
"286","ACTL7B",2,6,5,5,3,4
"287","ACTL9",0,0,0,0,0,0
"288","ACTL9B",0,0,0,0,0,0
"289","ACTN1",335,304,293,336,718,359
"290","ACTN2",19,16,15,17,14,4
"291","ACTN3",0,1,0,3,2,0
"292","ACTN4",2502,2632,2941,2753,3876,2583
"293","ACTR10",370,435,403,313,460,335
"294","ACTR1A",603,740,611,480,732,552
"295","ACTR1B",1044,1486,1132,873,1305,953
"296","ACTR2",617,721,758,742,887,611
"297","ACTR3",862,1043,956,820,1186,779
"298","ACTR3B",5,2,4,2,4,1
"299","ACTR5",48,81,62,52,75,70
"300","ACTR6",53,81,82,57,64,60
"301","ACTRT1",0,0,0,0,0,0
"302","ACTRT2",0,0,0,0,1,0
"303","ACVR1",187,95,199,115,157,81
"304","ACVR1B",117,158,96,134,152,115
"305","ACVR1C",31,27,26,33,69,63
"306","ACVR2A",169,204,153,182,290,196
"307","ACVR2B",18,23,23,17,30,17
"308","ACVRL1",80,98,85,89,98,55
"309","ACY1",555,782,683,716,605,452
"310","ACY3",351,276,315,180,516,455
"311","ACYP1",24,42,51,34,32,50
"312","ACYP2",25,37,35,24,23,15
"313","ADA",22,29,37,36,35,22
"314","ADAD1",1,0,1,1,1,0
"315","ADAM11",235,195,115,149,538,124
"316","ADAM15",168,160,161,156,139,83
"317","ADAM17",293,311,342,365,511,311
"318","ADAM19",69,53,68,68,147,56
"319","ADAM1A",43,47,31,23,41,38
"320","ADAM2",0,1,0,1,0,0
"321","ADAM23",146,155,181,116,238,166
"322","ADAM26A",0,0,0,0,0,0
"323","ADAM26B",0,0,0,0,0,0
"324","ADAM28",1,0,1,0,0,0
"325","ADAM30",0,0,0,0,0,0
"326","ADAM32",1,2,0,0,0,0
"327","ADAM3A",0,0,0,0,0,0
"328","ADAM4",3,4,3,5,4,2
"329","ADAM4L1",8,13,4,17,18,10
"330","ADAM5",0,0,0,0,0,0
"331","ADAM6",0,0,1,0,0,0
"332","ADAM7",0,0,0,0,0,0
"333","ADAM9",536,640,571,417,569,430
"334","ADAMDEC1",7,4,13,25,5,5
"335","ADAMTS1",159,226,212,222,348,405
"336","ADAMTS12",196,214,226,182,260,150
"337","ADAMTS14",17,20,13,7,10,6
"338","ADAMTS15",21,16,12,4,7,12
"339","ADAMTS18",0,0,0,0,0,0
"340","ADAMTS19",3,6,6,6,5,2
"341","ADAMTS2",106,118,122,86,54,42
"342","ADAMTS3",3,9,8,4,8,3
"343","ADAMTS4",9,28,6,14,36,18
"344","ADAMTS5",9,3,4,11,18,19
"345","ADAMTS7",406,212,327,416,345,181
"346","ADAMTS9",94,131,100,155,110,66
"347","ADAMTSL3",28,24,43,36,65,40
"348","ADAMTSL4",548,694,467,602,1224,1136
"349","ADAMTSL5",6,2,5,6,7,5
"350","ADAP1",9,6,2,4,16,3
"351","ADAP2",399,280,354,283,422,205
"352","ADAR",442,491,470,419,541,436
"353","ADARB1",134,265,153,177,296,240
"354","ADARB2",0,0,0,0,0,0
"355","ADAT1",60,56,73,86,71,36
"356","ADAT3",39,40,40,30,45,36
"357","ADCK1",69,72,83,57,73,61
"358","ADCK2",263,233,281,211,290,195
"359","ADCK3",5436,4427,5728,6015,4087,2663
"360","ADCK4",196,247,254,136,153,121
"361","ADCK5",516,541,514,571,1058,602
"362","ADCY1",20,67,29,47,140,103
"363","ADCY10",19,30,8,13,758,736
"364","ADCY2",4,5,3,5,2,0
"365","ADCY3",22,44,56,32,14,17
"366","ADCY4",109,91,84,90,141,73
"367","ADCY5",150,155,134,126,218,118
"368","ADCY6",1256,1520,1105,847,2175,1422
"369","ADCY7",27,12,28,19,42,23
"370","ADCY8",0,0,0,0,0,0
"371","ADCYAP1",0,0,0,2,0,0
"372","ADCYAP1R1",18,29,26,36,73,63
"373","ADD1",1405,1539,1325,1263,1742,1206
"374","ADD2",15,4,6,12,11,14
"375","ADD3",313,310,319,233,376,217
"376","ADH1",30550,17292,21694,13911,12079,11075
"377","ADH4",1774,959,1024,708,2586,2071
"378","ADH5",1755,1596,1874,1211,1752,1507
"379","ADH6",2204,1233,761,917,5955,5733
"380","ADH6A",0,4,0,0,0,1
"381","ADH7",339,239,175,162,211,192
"382","ADHFE1",2139,2536,2532,2431,3310,2499
"383","ADI1",1735,2108,1976,1792,1874,1515
"384","ADIPOQ",2,0,0,0,0,0
"385","ADIPOR1",1267,1548,1391,963,1660,1203
"386","ADIPOR2",585,723,873,1391,1138,803
"387","ADK",4160,5154,4631,3637,3819,3430
"388","ADM",13,16,14,22,16,12
"389","ADM2",23,32,14,2,7,2
"390","ADNP",1161,1238,1257,1218,1883,1228
"391","ADNP2",176,183,172,196,252,144
"392","ADO",60,87,59,50,66,35
"393","ADORA1",29,41,57,75,99,26
"394","ADORA2A",109,109,91,60,136,76
"395","ADORA2B",5,6,24,46,18,4
"396","ADORA3",17,20,30,30,58,18
"397","ADPGK",281,486,371,205,361,305
"398","ADPRH",109,101,108,91,112,101
"399","ADPRHL1",2,3,3,2,2,2
"400","ADPRHL2",207,290,237,185,373,245
"401","ADRA1A",0,0,0,0,1,2
"402","ADRA1B",321,284,654,689,413,289
"403","ADRA1D",2,0,0,1,0,0
"404","ADRA2B",143,72,144,124,166,117
"405","ADRA2C",0,0,0,0,0,0
"406","ADRB1",7,3,1,3,7,5
"407","ADRB2",22,18,10,15,31,19
"408","ADRB3",0,0,0,0,0,0
"409","ADRBK1",348,508,417,365,495,321
"410","ADRBK2",9,8,9,11,22,12
"411","ADRM1",702,1050,696,719,1375,967
"412","ADSL",325,459,367,308,454,397
"413","ADSS",1053,1106,1112,967,1274,1039
"414","AEBP1",107,134,180,113,113,80
"415","AEBP2",167,154,134,129,235,136
"416","AEN",166,266,183,131,610,348
"417","AER61",62,91,63,50,59,36
"418","AES",1889,1849,2211,1848,1874,1194
"419","AFAF",1,2,2,2,1,2
"420","AFAP1",14,2,12,14,15,11
"421","AFAP1L1",110,114,90,82,183,92
"422","AFF1",361,388,364,328,439,219
"423","AFF3",15,16,15,14,20,9
"424","AFF4",771,1038,788,773,1405,934
"425","AFG3L1",542,700,605,492,561,401
"426","AFG3L2",848,1066,972,641,956,727
"427","AFM",13699,10183,14703,14221,17624,11212
"428","AFP",62,72,114,94,51,51
"429","AGA",367,386,500,328,480,250
"430","AGAP1",78,95,104,138,189,143
"431","AGAP2",15,21,19,28,37,19
"432","AGAP3",174,253,192,153,298,215
"433","AGBL4",0,0,0,0,0,0
"434","AGER",13,11,10,3,5,2
"435","AGFG1",280,452,311,247,448,305
"436","AGFG2",435,689,493,451,697,405
"437","AGK",122,120,135,123,110,65
"438","AGL",1093,1015,1612,1304,1527,861
"439","AGMAT",1263,1219,1110,1219,1585,1232
"440","AGMO",2885,2889,2820,4147,7058,5158
"441","AGPAT1",91,101,76,68,103,64
"442","AGPAT2",638,910,854,1122,970,872
"443","AGPAT3",868,778,907,679,1293,1059
"444","AGPAT4",15,33,28,26,24,10
"445","AGPAT5",104,116,86,106,118,84
"446","AGPAT6",938,2083,1049,1084,1672,1399
"447","AGPAT9",56,19,15,3,68,189
"448","AGPHD1",272,201,290,213,598,204
"449","AGPS",6,4,2,5,7,4
"450","AGR2",0,0,0,0,0,0
"451","AGR3",0,0,0,0,0,0
"452","AGRN",562,612,677,568,823,519
"453","AGRP",0,1,0,1,0,1
"454","AGT",11433,16466,11181,11330,14918,11293
"455","AGTPBP1",36,85,52,48,82,59
"456","AGTR1A",944,1000,1143,1420,1834,1589
"457","AGTR1B",0,0,0,0,0,0
"458","AGTR2",0,0,0,0,0,0
"459","AGTRAP",159,177,122,172,154,109
"460","AGXT",1078,1381,1194,1117,2276,1621
"461","AGXT2",1970,2002,3586,683,2003,467
"462","AGXT2L2",319,273,421,334,228,174
"463","AHCY",13107,17154,12125,8738,14900,13433
"464","AHCYL1",1152,1534,1332,1005,1576,1153
"465","AHCYL2",162,240,205,174,198,160
"466","AHDC1",198,201,196,314,380,204
"467","AHI1",60,54,73,44,52,43
"468","AHNAK",241,430,358,229,342,143
"469","AHR",156,323,170,273,695,743
"470","AHRR",0,2,1,2,0,0
"471","AHSA2",334,423,330,324,479,346
"472","AHSG",166912,125215,170140,145119,138679,80399
"473","AHSP",15,5,20,7,16,2
"474","AIF1",145,145,171,204,280,176
"475","AIF1L",6,10,7,1,9,3
"476","AIFM1",1498,1541,1861,1396,1338,868
"477","AIFM2",316,396,442,464,534,376
"478","AIFM3",9,14,11,4,12,16
"479","AIG1",30,94,20,29,498,373
"480","AIMP1",204,226,190,180,253,209
"481","AIMP2",142,178,152,95,174,111
"482","AIP",177,188,199,137,274,184
"483","AIPL1",0,0,0,0,0,0
"484","AIRE",0,0,0,0,0,0
"485","AJUBA",152,123,176,172,221,136
"486","AK1",10,7,11,7,17,2
"487","AK2",2032,2945,2241,1967,3799,2474
"488","AK3",1306,1440,1251,822,1151,915
"489","AK4",512,729,459,387,467,297
"490","AK7",9,7,7,12,7,11
"491","AK8",0,2,0,0,0,0
"492","AKAP1",826,946,715,557,1276,974
"493","AKAP10",138,165,118,128,200,116
"494","AKAP11",360,555,337,290,629,393
"495","AKAP12",78,171,90,91,103,86
"496","AKAP13",615,916,852,760,1353,691
"497","AKAP14",0,0,0,0,0,0
"498","AKAP17A",342,381,423,281,469,339
"499","AKAP2",274,384,318,272,399,328
"500","AKAP3",0,0,0,1,1,3
"501","AKAP4",0,0,0,1,0,0
"502","AKAP5",89,114,130,181,184,66
"503","AKAP6",24,22,33,38,36,38
"504","AKAP7",28,38,30,22,24,15
"505","AKAP8",485,683,537,396,639,477
"506","AKAP8L",999,720,1080,867,1143,774
"507","AKAP9",602,681,732,631,1000,575
"508","AKIP1",41,35,57,31,44,39
"509","AKIRIN1",260,409,246,218,335,230
"510","AKIRIN2",243,305,247,218,320,255
"511","AKNA",66,65,72,54,125,45
"512","AKNAD1",81,47,83,55,87,52
"513","AKP3",0,0,1,0,0,0
"514","AKR1A1",2681,3506,3212,2815,2885,1963
"515","AKR1B1",68,68,97,82,112,59
"516","AKR1B10",6,5,5,2,1,3
"517","AKR1B7",8,23,839,118,3,5
"518","AKR1B8",33,23,56,15,23,8
"519","AKR1C1",645,159,1000,1465,912,543
"520","AKR1C12",584,168,576,252,596,232
"521","AKR1C12L1",52,40,51,45,40,35
"522","AKR1C13",6901,5703,7754,5427,6985,4322
"523","AKR1C14",14100,19858,16532,12387,17784,15998
"524","AKR1C19",101,68,71,44,129,145
"525","AKR1C2",383,79,387,130,1034,176
"526","AKR1C3",82,54,177,138,44,34
"527","AKR1CL1",128,133,146,104,175,132
"528","AKR1D1",21917,33117,19454,17533,11972,7638
"529","AKR1E2",837,758,1020,958,879,733
"530","AKR7A2",2260,2202,2483,1410,1443,1126
"531","AKR7A3",7715,13992,6683,802,811,467
"532","AKT1",487,618,665,574,874,522
"533","AKT1S1",426,515,515,392,635,477
"534","AKT2",694,787,754,760,951,619
"535","AKT3",17,17,23,15,24,19
"536","AKTIP",91,154,128,136,201,159
"537","ALAD",1609,1434,1792,1891,2277,1146
"538","ALAS2",73,39,92,57,60,35
"539","ALB",1566596,1475277,1628505,1459849,1686255,1001992
"540","ALCAM",773,983,831,694,574,381
"541","ALDH16A1",556,639,608,509,756,468
"542","ALDH18A1",20,23,18,16,20,13
"543","ALDH1A1",5203,7043,4162,443,5509,2487
"544","ALDH1A2",8,5,7,9,10,7
"545","ALDH1A3",64,80,90,66,84,62
"546","ALDH1A7",519,492,854,33,183,150
"547","ALDH1B1",97,39,220,297,18,9
"548","ALDH1L2",3048,2644,4623,3091,2830,1450
"549","ALDH2",13654,13540,15662,12822,15192,11040
"550","ALDH3A1",0,0,1,1,0,1
"551","ALDH3A2",6445,6276,7083,7446,13980,9957
"552","ALDH3B1",13,22,12,7,19,10
"553","ALDH4A1",6908,5527,9345,6368,3548,2511
"554","ALDH6A1",12856,17348,16257,11742,13302,9659
"555","ALDH8A1",3708,3832,4312,4192,5060,3752
"556","ALDH9A1",11388,10621,12628,10804,9076,8097
"557","ALDOA",844,1570,780,522,1042,691
"558","ALDOAL1",0,0,0,0,0,0
"559","ALDOB",36768,34792,48605,38598,31934,23625
"560","ALDOC",13,9,5,4,3,2
"561","ALG1",79,116,111,72,111,101
"562","ALG10",160,162,99,132,301,191
"563","ALG11",637,725,633,436,828,653
"564","ALG12",174,266,183,148,212,134
"565","ALG13",94,144,112,101,136,96
"566","ALG14",217,290,223,206,348,237
"567","ALG2",231,298,158,109,171,144
"568","ALG3",225,291,239,205,243,205
"569","ALG5",283,367,317,262,341,227
"570","ALG6",140,152,162,112,108,97
"571","ALG8",102,117,133,129,102,83
"572","ALG9",170,268,249,150,348,218
"573","ALK",0,0,0,1,1,0
"574","ALKBH",158,203,151,91,166,146
"575","ALKBH2",77,78,104,52,108,74
"576","ALKBH3",329,382,373,198,319,177
"577","ALKBH4",24,43,28,25,51,23
"578","ALKBH5",364,438,322,311,394,284
"579","ALKBH6",54,75,71,54,76,43
"580","ALKBH7",53,90,81,58,85,61
"581","ALKBH8",20,40,27,47,53,43
"582","ALLC",2,2,2,1,6,6
"583","ALMS1",129,122,143,118,229,145
"584","ALOX12",6,13,7,1,11,5
"585","ALOX12B",0,0,0,0,0,0
"586","ALOX12E",0,0,0,0,0,0
"587","ALOX15",177,104,162,57,50,70
"588","ALOX15B",0,0,0,0,0,0
"589","ALOX5",2,5,9,3,5,5
"590","ALOX5AP",26,18,31,23,34,14
"591","ALOXE3",5,5,2,5,4,7
"592","ALPI",0,2,0,0,0,0
"593","ALPK3",2,1,2,1,0,0
"594","ALPL",194,933,172,137,181,147
"595","ALS2",763,423,862,1045,1547,763
"596","ALS2CR11",0,0,0,0,0,0
"597","ALS2CR12",31,14,60,32,6,8
"598","ALS2CR8",32,44,38,30,42,26
"599","ALX1",0,0,0,0,0,0
"600","ALX3",0,0,0,0,0,0
"601","ALX4",0,0,0,0,0,0
"602","AMACR",5721,2131,4228,3680,7098,4387
"603","AMBN",0,0,0,0,0,0
"604","AMBP",48122,49053,50983,47557,49112,32595
"605","AMBRA1",358,377,397,312,426,290
"606","AMD1",825,1228,841,448,740,482
"607","AMDHD1",781,999,830,801,1163,588
"608","AMDHD2",99,102,86,44,131,83
"609","AMELX",0,0,0,0,0,0
"610","AMH",2,0,0,1,0,1
"611","AMHR2",8,14,5,7,24,6
"612","AMIGO1",17,36,21,18,67,62
"613","AMIGO2",89,93,95,69,81,60
"614","AMIGO3",32,20,37,11,20,5
"615","AMMECR1L",1494,1488,1305,1239,1705,996
"616","AMN",1,1,0,0,1,3
"617","AMN1",55,71,81,52,57,68
"618","AMOTL2",325,639,366,422,677,442
"619","AMPD1",1,4,1,3,5,3
