"","Feature","MET_1","MET_2","MET_3","CTL_1","CTL_2","CTL_3"
"4695","GM2A",6167,5035,7880,4998,4278,2957
"4696","GMCL1",346,412,284,285,325,241
"4697","GMDS",9,5,4,4,9,8
"4698","GMEB1",47,75,50,34,85,41
"4699","GMEB2",81,83,74,70,141,76
"4700","GMFB",331,452,307,255,579,369
"4701","GMFG",52,62,78,50,77,48
"4702","GMIP",78,93,76,86,151,81
"4703","GMNN",11,17,15,18,11,12
"4704","GMPPA",604,584,735,469,381,332
"4705","GMPPB",334,297,409,284,153,94
"4706","GMPR",2,6,16,7,11,9
"4707","GMPR2",113,158,129,121,125,115
"4708","GMPS",577,778,589,320,580,456
"4709","GNA11",219,271,226,147,248,212
"4710","GNA12",2558,3316,3304,2698,2908,1767
"4711","GNA13",60,53,57,62,106,58
"4712","GNA14",32,24,12,28,28,18
"4713","GNA15",15,11,15,14,29,6
"4714","GNAI1",51,79,54,31,43,34
"4715","GNAI2",1004,1247,1262,973,1329,766
"4716","GNAI3",1999,3010,2163,1684,2374,1731
"4717","GNAL",2,1,2,7,9,4
"4718","GNAO1",0,2,0,1,2,1
"4719","GNAQ",62,76,84,84,110,78
"4720","GNAS",0,0,0,0,0,0
"4721","GNAT1",61,50,80,25,8,6
"4722","GNAT2",4,9,1,8,23,15
"4723","GNAT3",5,2,5,4,11,3
"4724","GNAZ",0,0,0,0,1,0
"4725","GNB1",378,555,460,389,482,364
"4726","GNB2",669,795,745,701,968,615
"4727","GNB2L1",2803,3790,3027,2115,2864,2013
"4728","GNB3",0,2,1,1,0,0
"4729","GNB4",22,24,27,15,36,21
"4730","GNB5",10,19,18,23,28,10
"4731","GNE",2516,2059,2657,1186,1798,1193
"4732","GNG10",647,612,764,591,481,386
"4733","GNG11",77,95,71,84,105,98
"4734","GNG13",2,0,0,0,0,0
"4735","GNG3",9,15,13,14,15,8
"4736","GNG5",217,349,307,221,300,219
"4737","GNG7",4,1,4,5,1,1
"4738","GNG8",2,4,4,2,6,1
"4739","GNGT1",0,0,0,0,0,0
"4740","GNGT2",34,31,41,41,51,21
"4741","GNL1",441,558,458,288,538,329
"4742","GNL2",341,439,348,221,351,311
"4743","GNL3",609,1161,670,281,818,556
"4744","GNL3L",171,261,213,232,256,202
"4745","GNMT",2497,3015,2614,3042,2890,2433
"4746","GNPAT",289,440,259,245,379,295
"4747","GNPDA2",20,25,23,29,29,18
"4748","GNPNAT1",686,909,732,782,1080,799
"4749","GNPTG",174,210,192,143,196,144
"4750","GNRH1",3,2,1,2,3,4
"4751","GNRHR",0,0,0,0,0,0
"4752","GNS",736,879,881,797,1119,739
"4753","GOLGA1",214,247,240,201,259,148
